Source,Site,Kind,location,substrate,type,1302,1300,1298,1296,1292,1292',Ia,Ib,Ic,IIa,IIa',IIb,IIb',IIc,IIc',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',Iia-tot,Iib-tot,Iic-tot,,iiia-tot,IIIb-tot,IIIc-tot,FR.TETR,FR.PEN,FR.HEX,Br6/5+6,NoRINGStetra,NoRINGSpenta5,NoRINGSpenta6,NoRINGSpenta,IRpenta,IRhexa
"Naafs et al., 2017",M3,core lipid,Global peat,Peat,modern,52782640,2282026,2053108,957211,3214910,0,45,3,2,39,0,2,0,1,0,7,0,0,0,0,0,39,2,1,,7,0,0,50,42,7,0,0.14,0.095,,0.095,0,0
"Naafs et al., 2017",M3,core lipid,Global peat,Peat,modern,40660213,2485506,2306959,988935,3413888,0,48,3,2,37,0,2,0,1,0,7,0,0,0,0,0,37,2,1,,7,0,0,53,40,7,0,0.132,0.1,,0.1,0,0
"Naafs et al., 2017",M3,core lipid,Global peat,Peat,modern,96451735,8070419,7034272,2326537,8361084,0,50,3,3,34,0,2,0,1,0,6,0,0,0,0,0,34,2,1,,6,0,0,56,37,6,0,0.161,0.108,,0.108,0,0
"Naafs et al., 2017",M2,core lipid,Global peat,Peat,modern,1315317,0,0,0,0,0,51,3,2,37,0,2,0,1,0,4,0,0,0,0,0,37,2,1,,4,0,0,56,40,4,0,0.125,0.1,,0.1,0,0
"Naafs et al., 2017",M2,core lipid,Global peat,Peat,modern,817157,0,0,0,0,0,48,3,2,39,0,1,0,1,0,5,0,0,0,0,0,39,1,1,,5,0,0,53,41,5,0,0.132,0.073,,0.073,0,0
"Naafs et al., 2017",M2,core lipid,Global peat,Peat,modern,1292882,95014,113781,57348,0,0,49,3,1,38,0,1,0,1,0,8,0,0,0,0,0,38,1,1,,8,0,0,53,40,8,0,0.094,0.075,,0.075,0,0
"Naafs et al., 2017",M2,core lipid,Global peat,Peat,modern,7373949,305017,323323,111645,0,0,56,3,1,33,0,1,0,1,0,5,0,0,0,0,0,33,1,1,,5,0,0,60,35,5,0,0.083,0.086,,0.086,0,0
"Naafs et al., 2017",M2,core lipid,Global peat,Peat,modern,20553588,1575363,1664519,497463,65887,0,59,3,1,30,0,1,0,1,0,4,0,0,0,0,0,30,1,1,,4,0,0,63,32,4,0,0.079,0.094,,0.094,0,0
"Naafs et al., 2017",M2,core lipid,Global peat,Peat,modern,22087837,2372436,3233966,1256434,286839,0,56,4,1,32,0,1,0,1,0,5,0,0,0,0,0,32,1,1,,5,0,0,61,34,5,0,0.098,0.088,,0.088,0,0
"Naafs et al., 2017",M2,core lipid,Global peat,Peat,modern,60243339,6310733,9143988,4517173,1244128,0,50,4,2,36,0,2,0,1,0,4,0,0,0,0,0,36,2,1,,4,0,0,56,39,4,0,0.143,0.103,,0.103,0,0
"Naafs et al., 2017",M2,core lipid,Global peat,Peat,modern,200038740,9868638,16557951,17449802,2909198,0,37,5,2,44,0,4,0,0,0,8,0,0,0,0,0,44,4,0,,8,0,0,44,48,8,0,0.205,0.083,,0.083,0,0
"Naafs et al., 2017",M2,core lipid,Global peat,Peat,modern,167390496,6070780,9239749,9509500,1016004,0,34,5,1,45,0,4,0,0,0,10,0,0,0,0,0,45,4,0,,10,0,0,40,49,10,0,0.175,0.082,,0.082,0,0
"Naafs et al., 2017",M4,core lipid,Global peat,Peat,modern,105413,1764,2504,0,0,0,54,2,2,38,0,0,0,0,0,4,0,0,0,0,0,38,0,0,,4,0,0,58,38,4,0,0.103,0,,0,0,0
"Naafs et al., 2017",M4,core lipid,Global peat,Peat,modern,274183,9272,8675,2544,0,0,54,2,2,35,0,1,0,1,0,5,0,0,0,0,0,35,1,1,,5,0,0,58,37,5,0,0.103,0.081,,0.081,0,0
"Naafs et al., 2017",M4,core lipid,Global peat,Peat,modern,667044,23451,26981,9775,0,0,55,2,1,34,0,1,0,1,0,6,0,0,0,0,0,34,1,1,,6,0,0,58,36,6,0,0.069,0.083,,0.083,0,0
"Naafs et al., 2017",M4,core lipid,Global peat,Peat,modern,1953669,93560,84504,28182,10165,0,54,2,1,36,0,1,0,1,0,6,0,0,0,0,0,36,1,1,,6,0,0,57,38,6,0,0.07,0.079,,0.079,0,0
"Naafs et al., 2017",M4,core lipid,Global peat,Peat,modern,3048411,87829,75218,27881,11276,0,51,2,2,38,0,1,0,1,0,7,0,0,0,0,0,38,1,1,,7,0,0,55,40,7,0,0.109,0.075,,0.075,0,0
"Naafs et al., 2017",M4,core lipid,Global peat,Peat,modern,15303995,159124,137456,63549,0,0,55,1,1,36,0,0,0,1,0,6,0,0,0,0,0,36,0,1,,6,0,0,57,37,6,0,0.053,0.054,,0.054,0,0
"Naafs et al., 2017",M4,core lipid,Global peat,Peat,modern,5567798,140230,126903,53950,0,0,53,1,1,37,0,0,0,1,0,6,0,0,0,0,0,37,0,1,,6,0,0,55,38,6,0,0.055,0.053,,0.053,0,0
"Naafs et al., 2017",M4,core lipid,Global peat,Peat,modern,28565870,337666,288510,101395,11675,0,59,1,1,32,0,0,0,1,0,6,0,0,0,0,0,32,0,1,,6,0,0,61,33,6,0,0.049,0.061,,0.061,0,0
"Naafs et al., 2017",M4,core lipid,Global peat,Peat,modern,42318331,955395,1275383,694151,37954,0,53,2,2,36,0,1,0,1,0,5,0,0,0,0,0,36,1,1,,5,0,0,57,38,5,0,0.105,0.079,,0.079,0,0
"Naafs et al., 2017",M4,core lipid,Global peat,Peat,modern,48270220,1501049,1550142,805395,83771,0,51,2,2,38,0,1,0,1,0,5,0,0,0,0,0,38,1,1,,5,0,0,55,40,5,0,0.109,0.075,,0.075,0,0
"Naafs et al., 2017",M1,core lipid,Global peat,Peat,modern,1471307,73089,43136,36078,36305,0,42,4,1,43,0,2,0,1,0,8,0,0,0,0,0,43,2,1,,8,0,0,47,46,8,0,0.128,0.087,,0.087,0,0
"Naafs et al., 2017",M1,core lipid,Global peat,Peat,modern,802711,175770,94559,0,0,0,42,4,1,44,0,2,0,1,0,6,0,0,0,0,0,44,2,1,,6,0,0,47,47,6,0,0.128,0.085,,0.085,0,0
"Naafs et al., 2017",009I,core lipid,Global peat,Peat,modern,1901407,68978,136180,64903,18815,0,56,2,1,36,0,1,0,0,0,5,0,0,0,0,0,36,1,0,,5,0,0,59,37,5,0,0.068,0.027,,0.027,0,0
"Naafs et al., 2017",009I,core lipid,Global peat,Peat,modern,6764624,293609,380934,244085,103008,0,49,2,1,41,0,1,0,0,0,6,0,0,0,0,0,41,1,0,,6,0,0,52,42,6,0,0.077,0.024,,0.024,0,0
"Naafs et al., 2017",009I,core lipid,Global peat,Peat,modern,8826974,407385,966125,654619,314103,0,51,4,1,38,0,1,0,1,0,5,0,0,0,0,0,38,1,1,,5,0,0,56,40,5,0,0.107,0.075,,0.075,0,0
"Naafs et al., 2017",009I,core lipid,Global peat,Peat,modern,6829831,697747,1512604,1358625,600323,0,48,4,1,41,0,1,0,1,0,4,0,0,0,0,0,41,1,1,,4,0,0,53,43,4,0,0.113,0.07,,0.07,0,0
"Naafs et al., 2017",009I,core lipid,Global peat,Peat,modern,16768810,2084905,4206892,3983008,2641494,0,45,4,1,42,0,2,0,1,0,5,0,0,0,0,0,42,2,1,,5,0,0,50,45,5,0,0.12,0.089,,0.089,0,0
"Naafs et al., 2017",009I,core lipid,Global peat,Peat,modern,9813903,1045941,2225556,1967425,1618909,0,46,4,1,41,0,2,0,1,0,5,0,0,0,0,0,41,2,1,,5,0,0,51,44,5,0,0.118,0.091,,0.091,0,0
"Naafs et al., 2017",009I,core lipid,Global peat,Peat,modern,14994947,1852597,3818358,3527253,671970,0,41,5,1,41,0,3,0,1,0,7,0,0,0,0,0,41,3,1,,7,0,0,47,45,7,0,0.149,0.111,,0.111,0,0
"Naafs et al., 2017",009I,core lipid,Global peat,Peat,modern,23252963,2257188,4276364,4036093,397666,0,43,6,2,40,0,4,0,1,0,5,0,0,0,0,0,40,4,1,,5,0,0,51,45,5,0,0.196,0.133,,0.133,0,0
"Naafs et al., 2017",009I,core lipid,Global peat,Peat,modern,18624506,2712444,4004850,3380336,142374,0,41,5,1,42,0,4,0,1,0,6,0,0,0,0,0,42,4,1,,6,0,0,47,47,6,0,0.149,0.128,,0.128,0,0
"Naafs et al., 2017",009I,core lipid,Global peat,Peat,modern,21561357,3427816,5887392,4728796,112546,0,39,6,1,43,0,4,0,1,0,6,0,0,0,0,0,43,4,1,,6,0,0,46,48,6,0,0.174,0.125,,0.125,0,0
"Naafs et al., 2017",Fallahogy Bog,core lipid,Global peat,Peat,modern,432530,70330,48470,17745,201967,0,76,1,0,20,0,1,0,1,0,2,0,0,0,0,0,20,1,1,,2,0,0,77,22,2,0,0.013,0.136,,0.136,0,0
"Naafs et al., 2017",Fallahogy Bog,core lipid,Global peat,Peat,modern,2305346,604862,310869,73662,3363244,30118,70,1,0,25,0,1,0,1,0,2,0,0,0,0,0,25,1,1,,2,0,0,71,27,2,0,0.014,0.111,,0.111,0,0
"Naafs et al., 2017",Fallahogy Bog,core lipid,Global peat,Peat,modern,3725562,475723,446207,106582,132664,0,56,3,1,34,0,1,0,1,0,5,0,0,0,0,0,34,1,1,,5,0,0,60,36,5,0,0.083,0.083,,0.083,0,0
"Naafs et al., 2017",Fallahogy Bog,core lipid,Global peat,Peat,modern,16352488,2070090,2280229,609486,5506445,44699,55,3,2,31,0,2,0,1,0,6,0,0,0,0,0,31,2,1,,6,0,0,60,34,6,0,0.117,0.118,,0.118,0,0
"Naafs et al., 2017",Fallahogy Bog,core lipid,Global peat,Peat,modern,23333897,3292565,4366648,1993736,2250736,49465,41,3,3,43,0,2,0,1,0,7,0,0,0,0,0,43,2,1,,7,0,0,47,46,7,0,0.191,0.087,,0.087,0,0
"Naafs et al., 2017",Fallahogy Bog,core lipid,Global peat,Peat,modern,40103274,2842927,3285073,1531159,917313,18539,38,4,3,44,0,3,0,1,0,7,0,0,0,0,0,44,3,1,,7,0,0,45,48,7,0,0.222,0.104,,0.104,0,0
"Naafs et al., 2017",M2,core lipid,Global peat,Peat,modern,1694204,111828,165145,58003,0,0,40,2,2,41,0,1,0,0,1,13,0,0,0,0,0,41,1,1,,13,0,0,44,43,13,0.018,0.136,0.024,2,0.07,0.023,0
"Naafs et al., 2017","La Guette, Sologne",core lipid,Global peat,Peat,modern,1787914,524987,571155,183733,3306412,0,36,4,1,42,0,1,1,0,0,13,0,2,0,0,0,42,2,0,,13,2,0,41,44,15,0.017,0.146,0.023,1,0.045,0.023,0
"Naafs et al., 2017",Bomfield Swamp,core lipid,Global peat,Peat,modern,7546054,745747,966534,459055,1113828,47081,84,7,2,5,0,0,1,0,0,1,1,0,0,0,0,5,1,0,,2,0,0,93,6,2,0.25,0.118,0,1,0.167,0.167,0.5
"Naafs et al., 2017",Igarka Site 1+2,core lipid,Global peat,Peat,modern,3909730,66189,19941,0,0,0,22,1,0,45,0,0,1,0,0,26,5,0,0,0,0,45,1,0,,31,0,0,23,46,31,0.078,0.043,0,1,0.022,0.022,0.161
"Naafs et al., 2017",001A,core lipid,Global peat,Peat,modern,6683476,561862,929254,604983,896153,0,43,3,2,41,0,2,1,1,0,6,2,0,0,0,0,41,3,1,,8,0,0,48,45,8,0.057,0.146,0.091,1,0.111,0.022,0.25
"Naafs et al., 2017",001A,core lipid,Global peat,Peat,modern,11459046,909356,1519434,1145190,896427,0,45,4,2,39,0,2,1,1,0,6,1,0,0,0,0,39,3,1,,7,0,0,51,43,7,0.04,0.157,0.095,1,0.116,0.023,0.143
"Naafs et al., 2017",SS70-14,core lipid,Global peat,Peat,modern,291656,43214,32852,18397,119891,10948,8,7,1,13,19,7,11,0,1,32,0,0,0,0,0,32,18,1,,32,0,0,16,51,32,0.373,0.563,0.35,0.419,0.392,0.608,0
"Naafs et al., 2017",Peat near Neor Lake,core lipid,Global peat,Peat,modern,36181186,3789135,1416191,382219,8712800,108157,12,9,2,28,10,7,4,1,1,19,7,1,1,0,0,38,11,2,,26,2,0,23,51,28,0.291,0.565,0.25,0.4,0.294,0.294,0.286
"Naafs et al., 2017",New York Peat (Fort Drum),core lipid,Global peat,Peat,modern,241204,59244,40571,9900,130470,,17,13,4,19,12,8,5,1,1,10,7,1,1,0,0,31,13,2,,17,2,0,34,46,19,0.4,0.618,0.357,0.389,0.37,0.391,0.421
"Naafs et al., 2017",SS70-14,core lipid,Global peat,Peat,modern,1404607,220595,0,0,155983,0,11,9,1,15,20,6,8,0,1,13,13,1,1,0,1,35,14,1,,26,2,1,21,50,29,0.557,0.524,0.286,0.345,0.32,0.58,0.517
"Naafs et al., 2017","Rhizophora peat (or Shark River peat), Everglades NP",core lipid,Global peat,Peat,modern,1909452,626137,771247,188212,4328043,120625,46,15,10,7,11,3,3,0,1,2,2,0,0,0,0,18,6,1,,4,0,0,71,25,4,0.586,0.493,0.3,0.333,0.32,0.6,0.5
"Naafs et al., 2017",Nueva Alianza,core lipid,Global peat,Peat,modern,44817664,2246415,1602314,620284,1817602,138939,86,3,1,5,3,0,1,0,0,0,0,0,0,0,0,8,1,0,,0,0,0,90,9,0,0.444,0.056,0,0.25,0.111,0.444,
"Naafs et al., 2017",Nueva Alianza,core lipid,Global peat,Peat,modern,128282095,6511441,4209551,1709442,4568345,290317,84,4,1,6,3,0,1,0,0,0,0,0,0,0,0,9,1,0,,0,0,0,89,10,0,0.4,0.067,0,0.25,0.1,0.4,
"Naafs et al., 2017",Nueva Alianza,core lipid,Global peat,Peat,modern,186310749,10440673,7230881,3616424,17299916,1143807,84,6,1,6,3,0,1,0,0,0,0,0,0,0,0,9,1,0,,0,0,0,91,10,0,0.4,0.088,0,0.25,0.1,0.4,
"Naafs et al., 2017",Tamiami Sawgrass Peat,core lipid,Global peat,Peat,modern,18784583,2071067,1912644,1789775,1008133,63834,41,22,6,14,6,5,2,1,0,1,1,0,0,0,0,20,7,1,,2,0,0,69,28,2,0.3,0.493,0.35,0.25,0.321,0.286,0.5
"Naafs et al., 2017","Loxahatchee Nymphaea Peat, Everglades NP",core lipid,Global peat,Peat,modern,41881822,1788290,1426276,1181198,586580,69989,63,15,3,12,3,2,1,0,0,1,1,0,0,0,0,15,3,0,,2,0,0,81,18,2,0.25,0.259,0.143,0.25,0.167,0.222,0.5
"Naafs et al., 2017",Peat near Neor Lake,core lipid,Global peat,Peat,modern,35321487,2001464,705357,260169,5868387,55311,15,8,2,31,10,5,3,1,0,17,7,0,0,0,0,41,8,1,,24,0,0,25,50,24,0.27,0.48,0.189,0.231,0.2,0.26,0.292
"Naafs et al., 2017",M1,core lipid,Global peat,Peat,modern,370529,98798,31236,0,152111,0,30,9,2,28,10,3,3,1,0,9,4,0,0,0,0,38,6,1,,13,0,0,41,45,13,0.293,0.317,0.156,0.231,0.178,0.289,0.308
"Naafs et al., 2017",M1,core lipid,Global peat,Peat,modern,421742,96757,37150,0,213467,0,29,9,2,28,10,4,3,1,0,11,3,0,0,0,0,38,7,1,,14,0,0,40,46,14,0.267,0.325,0.182,0.231,0.196,0.283,0.214
"Naafs et al., 2017",Peace river,core lipid,Global peat,Peat,modern,,,,,,,22,3,0,30,7,5,2,1,0,18,10,0,0,0,0,37,7,1,,28,0,0,25,45,28,0.26,0.12,0.194,0.222,0.2,0.2,0.357
"Naafs et al., 2017",Peat near Neor Lake,core lipid,Global peat,Peat,modern,10447551,590708,239513,70197,1950306,21832,19,10,2,34,8,5,2,1,0,15,4,0,0,0,0,42,7,1,,19,0,0,31,50,19,0.203,0.452,0.175,0.2,0.18,0.2,0.211
"Naafs et al., 2017",Peat near Neor Lake,core lipid,Global peat,Peat,modern,79261537,5342932,1395174,346950,7447839,37153,12,7,1,32,9,5,2,1,0,23,6,0,0,0,0,41,7,1,,29,0,0,20,49,29,0.218,0.45,0.184,0.182,0.184,0.224,0.207
"Naafs et al., 2017",Peat near Neor Lake,core lipid,Global peat,Peat,modern,10857683,304482,147884,41809,767693,18872,19,7,1,37,9,3,2,1,0,16,4,0,0,0,0,46,5,1,,20,0,0,27,52,20,0.208,0.333,0.122,0.182,0.135,0.212,0.2
"Naafs et al., 2017",Peat near Neor Lake,core lipid,Global peat,Peat,modern,5259759,253689,78403,32500,454406,14830,15,8,1,35,9,6,2,1,0,18,4,0,0,0,0,44,8,1,,22,0,0,24,53,22,0.2,0.417,0.19,0.182,0.189,0.208,0.182
"Naafs et al., 2017",FjallsjÃ¶kull,core lipid,Global peat,Peat,modern,,,,,,,8,1,1,7,23,1,4,0,0,3,51,0,0,0,0,30,5,0,,54,0,0,10,35,54,0.876,0.3,0.125,0.148,0.143,0.771,0.944
"Naafs et al., 2017",Tibetean Plateau,core lipid,Global peat,Peat,modern,9847604,235458,45234,0,0,0,27,4,1,45,6,2,1,0,0,12,2,0,0,0,0,51,3,0,,14,0,0,32,54,14,0.132,0.188,0.043,0.143,0.056,0.13,0.143
"Naafs et al., 2017",Tibetean Plateau,core lipid,Global peat,Peat,modern,6572603,143713,21105,4019,5470,0,30,2,0,46,6,1,1,0,0,11,2,0,0,0,0,52,2,0,,13,0,0,32,54,13,0.134,0.063,0.021,0.143,0.037,0.13,0.154
"Naafs et al., 2017",Tibetean Plateau,core lipid,Global peat,Peat,modern,19548325,637452,82654,0,0,0,25,3,0,44,6,2,1,0,0,16,3,0,0,0,0,50,3,0,,19,0,0,28,53,19,0.139,0.107,0.043,0.143,0.057,0.132,0.158
"Naafs et al., 2017",Peat near Neor Lake,core lipid,Global peat,Peat,modern,9425181,900643,435523,125869,1600419,56583,14,9,1,27,12,7,2,0,0,19,7,0,0,0,0,39,9,0,,26,0,0,24,48,26,0.284,0.458,0.206,0.143,0.188,0.292,0.269
"Naafs et al., 2017",FjallsjÃ¶kull,core lipid,Global peat,Peat,modern,,,,,,,8,1,1,7,24,1,4,0,0,4,51,0,0,0,0,31,5,0,,55,0,0,10,36,55,0.868,0.3,0.125,0.143,0.139,0.778,0.927
"Naafs et al., 2017",Kitulu,core lipid,Global peat,Peat,modern,11042894,821696,428548,144609,1556514,47961,44,6,3,29,6,2,1,1,0,7,1,0,0,0,0,35,3,1,,8,0,0,53,39,8,0.17,0.226,0.125,0.143,0.128,0.179,0.125
"Naafs et al., 2017",001A,core lipid,Global peat,Peat,modern,6000808,534175,811391,635256,727594,0,40,4,1,36,6,2,1,1,0,6,2,0,0,0,0,42,3,1,,8,0,0,45,46,8,0.167,0.133,0.103,0.143,0.109,0.152,0.25
"Naafs et al., 2017",001A,core lipid,Global peat,Peat,modern,10664020,946720,1285092,721637,3359412,0,39,3,1,37,6,2,1,1,0,8,2,0,0,0,0,43,3,1,,10,0,0,43,47,10,0.158,0.116,0.1,0.143,0.106,0.149,0.2
"Naafs et al., 2017",Igarka Site 1+2,core lipid,Global peat,Peat,modern,4406402,305241,142446,13777,0,0,29,5,1,31,13,2,2,0,0,12,5,0,0,0,0,44,4,0,,17,0,0,35,48,17,0.308,0.2,0.061,0.133,0.083,0.313,0.294
"Naafs et al., 2017",Igarka Site 1+2,core lipid,Global peat,Peat,modern,2779422,184221,80257,10850,0,0,29,4,1,33,13,1,2,0,0,13,5,0,0,0,0,46,3,0,,18,0,0,34,49,18,0.299,0.176,0.029,0.133,0.061,0.306,0.278
"Naafs et al., 2017",Igarka Site 1+2,core lipid,Global peat,Peat,modern,4590804,263754,122221,16504,0,0,26,4,1,30,14,2,2,0,0,15,6,0,0,0,0,44,4,0,,21,0,0,31,48,21,0.319,0.194,0.063,0.125,0.083,0.333,0.286
"Naafs et al., 2017",001A,core lipid,Global peat,Peat,modern,14640272,1903635,2255319,1397123,5931990,70581,44,3,1,33,7,2,1,1,0,8,2,0,0,0,0,40,3,1,,10,0,0,48,44,10,0.185,0.104,0.111,0.125,0.114,0.182,0.2
"Naafs et al., 2017",M1,core lipid,Global peat,Peat,modern,2377490,256448,186251,131360,50904,0,46,4,1,33,7,2,1,1,0,6,1,0,0,0,0,40,3,1,,7,0,0,51,44,7,0.176,0.118,0.111,0.125,0.114,0.182,0.143
"Naafs et al., 2017",Igarka Site 1+2,core lipid,Global peat,Peat,modern,3393330,273665,131530,14571,0,0,26,5,1,29,15,2,2,0,0,15,5,0,0,0,0,44,4,0,,20,0,0,32,48,20,0.324,0.219,0.065,0.118,0.083,0.354,0.25
"Naafs et al., 2017",Igarka Site 1+2,core lipid,Global peat,Peat,modern,2251572,94934,64032,4631,0,0,26,4,1,30,15,1,2,0,0,14,6,0,0,0,0,45,3,0,,20,0,0,31,48,20,0.338,0.194,0.032,0.118,0.063,0.354,0.3
"Naafs et al., 2017",S. Iceland,core lipid,Global peat,Peat,modern,,,,,,,17,4,1,13,30,2,4,0,0,7,20,0,0,0,0,43,6,0,,27,0,0,22,49,27,0.711,0.273,0.133,0.118,0.122,0.694,0.741
"Naafs et al., 2017",Tibetean Plateau,core lipid,Global peat,Peat,modern,460337,35344,56129,12219,115013,0,32,8,2,36,8,2,1,1,0,8,2,0,0,0,0,44,3,1,,10,0,0,42,48,10,0.19,0.286,0.103,0.111,0.104,0.188,0.2
"Naafs et al., 2017",M3,core lipid,Global peat,Peat,modern,53451102,5156599,4747998,1763989,4360530,0,44,5,4,29,8,2,1,1,0,5,1,0,0,0,0,37,3,1,,6,0,0,53,41,6,0.213,0.245,0.125,0.111,0.122,0.22,0.167
"Naafs et al., 2017",M1,core lipid,Global peat,Peat,modern,999867,0,0,0,0,0,40,3,0,33,8,2,1,1,0,12,0,0,0,0,0,41,3,1,,12,0,0,43,45,12,0.158,0.07,0.111,0.111,0.111,0.2,0
"Naafs et al., 2017",S. Iceland,core lipid,Global peat,Peat,modern,,,,,,,17,4,1,14,29,3,3,0,0,10,17,0,0,0,0,43,6,0,,27,0,0,22,49,27,0.645,0.273,0.176,0.094,0.122,0.653,0.63
"Naafs et al., 2017",Kyambangunguru,core lipid,Global peat,Peat,modern,132808739,5313616,5864037,1186257,2151456,58272,68,3,1,14,10,0,1,0,0,2,1,0,0,0,0,24,1,0,,3,0,0,72,25,3,0.429,0.069,0,0.091,0.04,0.44,0.333
"Naafs et al., 2017",M1,core lipid,Global peat,Peat,modern,291210,74704,30670,8175,70750,0,32,7,1,23,20,3,2,1,0,6,4,0,0,0,0,43,5,1,,10,0,0,40,49,10,0.441,0.225,0.185,0.091,0.143,0.449,0.4
"Naafs et al., 2017",M1,core lipid,Global peat,Peat,modern,318329,59930,19427,0,0,0,35,7,1,24,17,3,1,1,0,6,4,0,0,0,0,41,4,1,,10,0,0,43,46,10,0.393,0.209,0.179,0.056,0.13,0.391,0.4
"Naafs et al., 2017",Kyambangunguru,core lipid,Global peat,Peat,modern,47558799,1502742,2135485,783849,1936112,56719,77,2,1,13,5,0,0,0,0,1,1,0,0,0,0,18,0,0,,2,0,0,80,18,2,0.3,0.05,0,0,0,0.278,0.5
"Naafs et al., 2017",Kyambangunguru,core lipid,Global peat,Peat,modern,74481080,2499695,2883757,805115,1103122,66242,73,2,1,15,6,0,0,0,0,1,1,0,0,0,0,21,0,0,,2,0,0,76,21,2,0.304,0.053,0,0,0,0.286,0.5
"Naafs et al., 2017",Kyambangunguru,core lipid,Global peat,Peat,modern,68396879,2954998,2928654,1555302,2128298,82455,79,4,1,11,4,0,0,0,0,1,1,0,0,0,0,15,0,0,,2,0,0,84,15,2,0.294,0.071,0,0,0,0.267,0.5
"Naafs et al., 2017",Andorra,core lipid,Global peat,Peat,modern,12450749,1131167,1394253,716687,0,0,37,0,0,28,25,1,0,0,0,9,0,0,0,0,0,53,1,0,,9,0,0,37,54,9,0.397,0,0.034,0,0.019,0.463,0
"Naafs et al., 2017",Mira Flores,core lipid,Global peat,Peat,modern,114744290,18722901,25207019,20627430,593043,161072,95,1,1,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,97,4,0,0.25,0.031,0,0,0,0.25,
"Naafs et al., 2017",Mira Flores,core lipid,Global peat,Peat,modern,260217890,33651498,39853351,34401472,1643187,266729,94,1,1,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,96,4,0,0.25,0.031,0,0,0,0.25,
"Naafs et al., 2017",MaquÃ­a,core lipid,Global peat,Peat,modern,34363928,2135152,1556915,838598,2467956,,86,5,1,4,3,0,0,0,0,0,0,0,0,0,0,7,0,0,,0,0,0,92,7,0,0.429,0.076,0,0,0,0.429,
"Naafs et al., 2017",MaquÃ­a,core lipid,Global peat,Peat,modern,10202080,855397,692028,411698,1214628,46004,89,4,1,4,1,0,0,0,0,0,0,0,0,0,0,5,0,0,,0,0,0,94,5,0,0.2,0.064,0,0,0,0.2,
"Naafs et al., 2017",MaquÃ­a,core lipid,Global peat,Peat,modern,7677706,339028,395422,110170,330730,13493,94,2,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,96,3,0,0.667,0.021,0,0,0,0.667,
"Naafs et al., 2017",Nueva Alianza,core lipid,Global peat,Peat,modern,73459414,3217794,2140748,1263203,1702240,106598,89,3,1,4,3,0,0,0,0,0,0,0,0,0,0,7,0,0,,0,0,0,93,7,0,0.429,0.054,0,0,0,0.429,
"Naafs et al., 2017",Bomfield Swamp,core lipid,Global peat,Peat,modern,239452970,10577905,12105559,7283703,851005,246915,77,5,2,7,8,1,0,0,0,0,1,0,0,0,0,15,1,0,,1,0,0,84,16,1,0.529,0.107,0.125,0,0.063,0.5,1
"Naafs et al., 2017",Bomfield Swamp,core lipid,Global peat,Peat,modern,11317593,992849,1199206,717168,1600062,186699,76,9,3,6,5,1,0,0,0,0,0,0,0,0,0,11,1,0,,0,0,0,88,12,0,0.417,0.17,0.143,0,0.083,0.417,
"Naafs et al., 2017",SKY1,core lipid,Global peat,Peat,modern,16728878,1369243,2313870,1487098,53532,0,36,1,1,20,28,1,0,1,0,13,0,0,0,0,0,48,1,1,,13,0,0,38,50,13,0.444,0.079,0.136,0,0.06,0.56,0
"Naafs et al., 2017","Loxahatchee Sawgrass Peat, Everglades NP",core lipid,Global peat,Peat,modern,34752023,1903717,2150389,877911,1458950,114411,69,12,3,11,3,1,0,0,0,1,0,0,0,0,0,14,1,0,,1,0,0,84,15,1,0.188,0.214,0.083,0,0.067,0.2,0
"Naafs et al., 2017",Flesch,core lipid,Global peat,Peat,modern,,,,,,,60,1,0,30,5,0,0,0,0,2,1,0,0,0,0,35,0,0,,3,0,0,61,35,3,0.158,0.016,0,0,0,0.143,0.333
"Naafs et al., 2017",Nyabuiyabui,core lipid,Global peat,Peat,modern,13368760,380816,193414,51815,207650,0,60,3,1,26,4,1,0,1,0,5,1,0,0,0,0,30,1,1,,6,0,0,64,32,6,0.132,0.078,0.107,0,0.094,0.125,0.167
"Naafs et al., 2017",Shidodo,core lipid,Global peat,Peat,modern,604850,79351,100052,32978,536524,53884,84,4,1,9,1,0,0,0,0,1,0,0,0,0,0,10,0,0,,1,0,0,89,10,1,0.091,0.067,0,0,0,0.1,0
"Naafs et al., 2017",Shidodo,core lipid,Global peat,Peat,modern,2235420,438946,454212,179403,3317745,83623,80,4,1,10,2,0,0,0,0,1,0,0,0,0,0,12,0,0,,1,0,0,85,12,1,0.154,0.071,0,0,0,0.167,0
"Naafs et al., 2017",Shidodo,core lipid,Global peat,Peat,modern,2663111,222111,206942,63047,919198,18227,70,5,2,16,4,1,0,1,0,2,1,0,0,0,0,20,1,1,,3,0,0,77,22,3,0.2,0.117,0.167,0,0.136,0.182,0.333
"Naafs et al., 2017",Shidodo,core lipid,Global peat,Peat,modern,2464271,212088,176319,83721,367650,20285,64,4,2,19,5,1,0,1,0,2,1,0,0,0,0,24,1,1,,3,0,0,70,26,3,0.207,0.114,0.143,0,0.115,0.192,0.333
